status	time	energy	
Optimal	3.815	364	
Optimal	3.613	376	
Optimal	3.766	376	
Optimal	3.862	376	
Optimal	4.297	376	
Optimal	4.401	376	
Optimal	4.553	376	
Optimal	4.248	376	
Optimal	4.248	376	
Optimal	4.144	376	
Optimal	3.99	376	
Optimal	3.625	376	
Optimal	3.813	376	
Optimal	3.744	376	
Optimal	3.621	376	
Optimal	3.596	376	
Optimal	3.609	376	
Optimal	3.815	376	
Optimal	3.633	376	
Optimal	3.741	376	
Optimal	3.656	376	
Optimal	3.88	376	
Optimal	3.909	376	
Optimal	3.759	376	
Optimal	3.883	376	
Optimal	3.633	376	
Optimal	3.624	376	
Optimal	3.601	376	
Optimal	3.583	376	
Optimal	3.627	376	
Optimal	3.767	376	
Optimal	3.603	376	
Optimal	3.711	376	
Optimal	3.614	376	
Optimal	3.593	376	
Optimal	3.639	376	
Optimal	3.611	376	
Optimal	3.688	376	
Optimal	3.603	376	
Optimal	3.821	376	
Optimal	3.838	376	
