status	time	energy	
Feasible	0.087	1760	
Feasible	0.098	1760	
Feasible	0.088	1760	
Feasible	0.089	1760	
Feasible	0.087	1760	
Feasible	0.092	1760	
Feasible	0.087	1760	
Feasible	0.087	1760	
Feasible	0.086	1760	
Feasible	0.089	1760	
Feasible	0.085	1760	
Feasible	0.085	1760	
Feasible	0.089	1760	
Feasible	0.091	1760	
Feasible	0.088	1760	
Feasible	5.004	1760	
Feasible	5.009	1760	
Feasible	5.009	1760	
Feasible	5.003	1760	
Feasible	5.005	1760	
Feasible	5.012	1760	
Feasible	5.014	1760	
Feasible	5.003	1760	
Feasible	5.001	1760	
Feasible	5.014	1760	
Feasible	5.004	1760	
Feasible	5.014	1760	
Feasible	5.006	1760	
Feasible	5.003	1760	
Feasible	5.007	1760	
